,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8
0,4095,240,1479,236,4095,245,656,237
1,4095,241,1421,242,4095,243,777,238
2,4095,245,1356,243,4095,246,679,237
3,4095,239,1340,244,4095,243,577,241
4,4095,239,1247,245,4095,240,474,244
5,4095,240,1201,247,4095,244,419,242
6,4095,241,1114,242,4095,243,390,240
7,4095,240,978,242,4095,246,383,240
8,4095,238,914,239,4095,243,358,244
9,4095,244,819,240,4095,245,347,239
10,4095,237,700,243,4095,249,342,241
11,4095,244,595,238,4095,241,341,239
12,4095,241,527,244,4095,241,337,246
13,4095,245,524,246,4095,243,326,241
14,4095,243,574,241,4095,240,320,239
15,4095,242,621,245,4095,243,320,240
16,4095,241,659,241,4095,251,317,240
17,4095,242,696,241,4095,241,316,239
18,4095,250,633,246,4095,242,316,252
19,4095,240,550,240,4095,242,316,236
